satisfaction_level,last_evaluation,number_project,average_monthly_hours,tenure,work_accident,left,promotion_last_5years,department,salary,predicted_probability,predicted_label,model_name,model_accuracy,model_auc,model_precision,model_recall,model_f1,top_feature
0.89,1.0,5,224,5,0,1,0,sales,low,0.7278333299717217,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.42,0.53,2,142,3,0,1,0,sales,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.84,0.92,4,234,5,0,1,0,sales,low,0.5495186011347079,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.36,0.56,2,137,3,0,1,0,sales,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.38,0.54,2,143,3,0,1,0,sales,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.38,0.55,2,147,3,0,1,0,sales,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.4,0.53,2,158,3,0,1,0,sales,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.82,0.87,4,239,5,0,1,0,sales,low,0.5495186011347079,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.09,0.62,6,294,4,0,1,0,accounting,low,0.14510544164775202,0,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
0.38,0.46,2,137,3,0,1,0,technical,low,0.9354905674077,1,Random Forest - Test 2,0.9609739826551034,0.9355951807228916,0.8713450292397661,0.8975903614457831,0.8842729970326408,last_evaluation
